0,1,2,3,4,5,6,7,8
P. aeruginosa (R+I) to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to aminoglycosides,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to fluroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to pip/tazobactam,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
Acinetobacter spp. (R+I) to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
Acinetobacter spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
MRSA,NH,7,21,33.3,15.8,55,SSI,2014
MRSA I to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA R* to daptomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA R to linezolid,NH,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
MRSA R to fluoroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
CA-MRSA,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecalis R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecalis R* to daptomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecium R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecium R* to daptomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
CNS (R+I) to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
CNS R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Enterobacter spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Enterobacter spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Enterobacter spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E.coli R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E.coli R to ES cephalosporins,NH,2,21,9.5,1.6,28,SSI,2014
E.coli R to fluoroquinolones,NH,5,22,22.7,8.8,43.4,SSI,2014
E.coli MDR,NH,0,22,0,0,12.7,SSI,2014
Klebsiella spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Klebsiella spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Klebsiella spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
CRE,NH,0,26,0,0,10.8,SSI,2014
P. aeruginosa (R+I) to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to aminoglycosides,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to fluroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to pip/tazobactam,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Acinetobacter spp. (R+I) to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
Acinetobacter spp. MDR,NH,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
MRSA,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
MRSA I to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
MRSA R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA R to linezolid,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA R to fluoroquinolones,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
CA-MRSA,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
E. faecalis R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E. faecalis R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
E. faecium R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E. faecium R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
CNS (R+I) to vancomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
CNS R to vancomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
Enterobacter spp. R to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
Enterobacter spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Enterobacter spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli R to fluoroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Klebsiella spp. R to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
Klebsiella spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Klebsiella spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
CRE,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa (R+I) to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
P. aeruginosa R to aminoglycosides,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to fluroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to pip/tazobactam,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Acinetobacter spp. (R+I) to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
Acinetobacter spp. MDR,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
MRSA I to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
MRSA R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA R to linezolid,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA R to fluoroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
CA-MRSA,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
E. faecalis R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E. faecalis R* to daptomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E. faecium R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E. faecium R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
CNS (R+I) to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
CNS R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Enterobacter spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Enterobacter spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Enterobacter spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E.coli R to carbapenems,NH,0,22,0,0,12.7,CAUTI,2012
E.coli R to ES cephalosporins,NH,0,30,0,0,9.5,CAUTI,2012
E.coli R to fluoroquinolones,NH,9,38,23.7,12.2,39,CAUTI,2012
E.coli MDR,NH,1,31,3.2,0.1,14.8,CAUTI,2012
Klebsiella spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Klebsiella spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Klebsiella spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
CRE,NH,0,30,0,0,9.5,CAUTI,2012
P. aeruginosa (R+I) to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to aminoglycosides,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to fluroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to pip/tazobactam,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Acinetobacter spp. (R+I) to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
Acinetobacter spp. MDR,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
MRSA I to vancomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
MRSA R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
MRSA R to linezolid,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
MRSA R to fluoroquinolones,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
CA-MRSA,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
E. faecalis R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E. faecalis R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
E. faecium R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E. faecium R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
CNS (R+I) to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
CNS R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Enterobacter spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Enterobacter spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Enterobacter spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E.coli R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E.coli R to ES cephalosporins,NH,1,22,4.5,0.2,20.4,CAUTI,2013
E.coli R to fluoroquinolones,NH,4,23,17.4,5.7,36.8,CAUTI,2013
E.coli MDR,NH,0,22,0,0,12.7,CAUTI,2013
Klebsiella spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Klebsiella spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Klebsiella spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
CRE,NH,0,26,0,0,10.8,CAUTI,2013
P. aeruginosa (R+I) to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to aminoglycosides,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to fluroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to pip/tazobactam,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Acinetobacter spp. (R+I) to carbapenems,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
Acinetobacter spp. MDR,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
MRSA,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
MRSA I to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
MRSA R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
MRSA R to linezolid,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
MRSA R to fluoroquinolones,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
CA-MRSA,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
E. faecalis R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E. faecalis R* to daptomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E. faecium R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E. faecium R* to daptomycin,NH,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
CNS (R+I) to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
CNS R to vancomycin,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Enterobacter spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Enterobacter spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Enterobacter spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E.coli R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E.coli R to ES cephalosporins,NH,3,21,14.3,3.7,34.1,CAUTI,2014
E.coli R to fluoroquinolones,NH,4,22,18.2,6,38.2,CAUTI,2014
E.coli MDR,NH,1,21,4.8,0.2,21.3,CAUTI,2014
Klebsiella spp. R to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Klebsiella spp. R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Klebsiella spp. MDR,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
CRE,NH,0,32,0,0,8.9,CAUTI,2014
P. aeruginosa (R+I) to carbapenems,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa R to aminoglycosides,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa R to ES cephalosporins,NH,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
