0,1,2,3,4,5,6,7,8
MRSA R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
MRSA R to linezolid,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
MRSA R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
CA-MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
E. faecalis R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
E. faecium R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
CNS (R+I) to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
CNS R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
Enterobacter spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
Enterobacter spp. R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
Enterobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
E.coli R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
E.coli MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
Klebsiella spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
Klebsiella spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
Klebsiella spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
P. aeruginosa (R+I) to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2012
Acinetobacter spp. (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
Acinetobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2012
MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
MRSA I to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
MRSA R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
MRSA R to linezolid,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
MRSA R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
CA-MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E. faecalis R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E. faecium R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
CNS (R+I) to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
CNS R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
Enterobacter spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
Enterobacter spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
Enterobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E.coli R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
E.coli MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
Klebsiella spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
Klebsiella spp. R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
Klebsiella spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa (R+I) to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2013
Acinetobacter spp. (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
Acinetobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2013
MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA I to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA R to linezolid,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
CA-MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecalis R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
E. faecium R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
CNS (R+I) to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
CNS R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Enterobacter spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Enterobacter spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Enterobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E.coli R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
E.coli MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Klebsiella spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
Klebsiella spp. R to ES cephalosporins,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
Klebsiella spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,SSI,2014
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Acinetobacter spp. (R+I) to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
Acinetobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,SSI,2014
MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA I to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA R to linezolid,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA R to fluoroquinolones,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
CA-MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E. faecalis R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E. faecium R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
CNS (R+I) to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
CNS R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
Enterobacter spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Enterobacter spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Enterobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
E.coli MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Klebsiella spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Klebsiella spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Klebsiella spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa (R+I) to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2011
Acinetobacter spp. (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
Acinetobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2011
MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
MRSA I to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA R to linezolid,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA R to fluoroquinolones,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
CA-MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E. faecalis R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E. faecium R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
CNS (R+I) to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
CNS R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Enterobacter spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
Enterobacter spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Enterobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
E.coli R to fluoroquinolones,AK,6,29,20.7,8.8,38.1,CAUTI,2012
E.coli MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Klebsiella spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Klebsiella spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Klebsiella spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2012
Acinetobacter spp. (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
Acinetobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2012
MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
MRSA I to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
MRSA R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
MRSA R to linezolid,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
MRSA R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
CA-MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E. faecalis R* to daptomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E. faecium R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
CNS (R+I) to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
CNS R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
Enterobacter spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
Enterobacter spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Enterobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
E.coli R to fluoroquinolones,AK,11,23,47.8,28.2,67.8,CAUTI,2013
E.coli MDR,AK,1,23,4.3,0.2,19.6,CAUTI,2013
Klebsiella spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
Klebsiella spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Klebsiella spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa (R+I) to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2013
Acinetobacter spp. (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
Acinetobacter spp. MDR,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2013
MRSA,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
MRSA I to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
MRSA R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
MRSA R to linezolid,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
MRSA R to fluoroquinolones,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
CA-MRSA,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
E. faecalis R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E. faecalis R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
E. faecium R to vancomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
E. faecium R* to daptomycin,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
CNS (R+I) to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
CNS R to vancomycin,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Enterobacter spp. R to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
Enterobacter spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Enterobacter spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E.coli R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E.coli R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E.coli R to fluoroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
E.coli MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Klebsiella spp. R to carbapenems,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Klebsiella spp. R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
Klebsiella spp. MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
CRE,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa (R+I) to carbapenems,AK,None Tested,(0),Not defined,Not defined,Not defined,CAUTI,2014
P. aeruginosa R to aminoglycosides,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa R to ES cephalosporins,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa R to fluroquinolones,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa R to pip/tazobactam,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
P. aeruginosa MDR,AK,Insufficient Data,(1-19),Insufficient Data,Insufficient Data,Insufficient Data,CAUTI,2014
